"","annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at","labels","choiceCom","split","argAmount","argType","argPar1","argPar2","argPerformed","argImageName"
6,135,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T09:59:11.095123Z",18162,"Bare Soil_Fran_0_1164_0.jpg",9.274,"2024-07-11T09:59:11.095153Z","['Grass', 'Soil']","Grass, Soil","Val",2,"None",NA,NA,TRUE,"Bare Soil_Fran_0_1164_0.jpg"
7,136,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T09:59:27.268479Z",18163,"Bare Soil_Fran_0_1164_194.jpg",15.417,"2024-07-11T09:59:27.268523Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_0_1164_194.jpg"
8,137,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T09:59:50.286436Z",18164,"Bare Soil_Fran_0_1164_388.jpg",7.968,"2024-07-11T09:59:50.286468Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_0_1164_388.jpg"
9,224,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:07:17.168148Z",18165,"Bare Soil_Fran_0_1164_582.jpg",20.708,"2024-07-11T10:07:17.168179Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_0_1164_582.jpg"
10,225,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:07:20.670501Z",18166,"Bare Soil_Fran_0_1164_776.jpg",2.832,"2024-07-11T10:07:20.670533Z","['Grass', 'Soil']","Grass, Soil","Val",2,"None",NA,NA,TRUE,"Bare Soil_Fran_0_1164_776.jpg"
11,228,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:07:30.257406Z",18167,"Bare Soil_Fran_0_1164_965.jpg",8.956,"2024-07-11T10:07:30.257436Z","['Grass', 'Soil']","Grass, Soil","Val",1,"None",NA,NA,TRUE,"Bare Soil_Fran_0_1164_965.jpg"
13,232,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:07:43.762465Z",18169,"Bare Soil_Fran_0_1358_194.jpg",4.056,"2024-07-11T10:07:43.762499Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_0_1358_194.jpg"
14,233,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:07:48.667461Z",18170,"Bare Soil_Fran_0_1358_388.jpg",3.997,"2024-07-11T10:07:48.667537Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_0_1358_388.jpg"
15,235,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:08:06.786139Z",18171,"Bare Soil_Fran_0_1358_582.jpg",17.455,"2024-07-11T10:08:06.786172Z","['Grass', 'Soil']","Grass, Soil","Val",1,"None",NA,NA,TRUE,"Bare Soil_Fran_0_1358_582.jpg"
16,239,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:08:22.932305Z",18172,"Bare Soil_Fran_0_1358_776.jpg",15.459,"2024-07-11T10:08:22.932334Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_0_1358_776.jpg"
27,290,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:11:08.848963Z",18183,"Bare Soil_Fran_0_1746_582.jpg",35.519,"2024-07-11T10:11:08.848992Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_0_1746_582.jpg"
30,296,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:11:23.835663Z",18186,"Bare Soil_Fran_0_1940_0.jpg",4.628,"2024-07-11T10:11:23.835705Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_0_1940_0.jpg"
33,305,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:11:55.361751Z",18189,"Bare Soil_Fran_0_1940_582.jpg",9.168,"2024-07-11T10:11:55.361780Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_0_1940_582.jpg"
41,318,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:12:35.645591Z",18197,"Bare Soil_Fran_0_194_965.jpg",4.133,"2024-07-11T10:12:35.645624Z","['Grass', 'Soil']","Grass, Soil","Val",2,"None",NA,NA,TRUE,"Bare Soil_Fran_0_194_965.jpg"
44,327,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:13:00.288625Z",18200,"Bare Soil_Fran_0_2134_388.jpg",14.271,"2024-07-11T10:13:00.288734Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_0_2134_388.jpg"
60,353,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:14:18.266226Z",18216,"Bare Soil_Fran_0_388_0.jpg",7.747,"2024-07-11T10:14:18.266262Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_0_388_0.jpg"
64,361,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:14:33.437008Z",18220,"Bare Soil_Fran_0_388_776.jpg",4.527,"2024-07-11T10:14:33.437041Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_0_388_776.jpg"
65,363,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:14:38.518648Z",18221,"Bare Soil_Fran_0_388_965.jpg",4.318,"2024-07-11T10:14:38.518677Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_0_388_965.jpg"
66,365,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:14:42.104160Z",18222,"Bare Soil_Fran_0_582_0.jpg",2.884,"2024-07-11T10:14:42.104192Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_0_582_0.jpg"
68,371,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:14:57.924388Z",18224,"Bare Soil_Fran_0_582_388.jpg",4.417,"2024-07-11T10:14:57.924420Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_0_582_388.jpg"
70,376,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:15:08.588492Z",18226,"Bare Soil_Fran_0_582_776.jpg",3.141,"2024-07-11T10:15:08.588532Z","['Grass', 'Soil']","Grass, Soil","Val",2,"None",NA,NA,TRUE,"Bare Soil_Fran_0_582_776.jpg"
71,379,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:15:14.213525Z",18227,"Bare Soil_Fran_0_582_965.jpg",4.809,"2024-07-11T10:15:14.213555Z","['Grass', 'Soil']","Grass, Soil","Train",1,"None",NA,NA,TRUE,"Bare Soil_Fran_0_582_965.jpg"
72,383,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:15:22.557463Z",18228,"Bare Soil_Fran_0_776_0.jpg",7.554,"2024-07-11T10:15:22.557493Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_0_776_0.jpg"
73,384,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:15:27.681067Z",18229,"Bare Soil_Fran_0_776_194.jpg",4.442,"2024-07-11T10:15:27.681101Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_0_776_194.jpg"
74,385,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:15:31.489451Z",18230,"Bare Soil_Fran_0_776_388.jpg",3.113,"2024-07-11T10:15:31.489485Z","['Grass', 'Soil']","Grass, Soil","Val",2,"None",NA,NA,TRUE,"Bare Soil_Fran_0_776_388.jpg"
75,387,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:15:35.966079Z",18231,"Bare Soil_Fran_0_776_582.jpg",3.837,"2024-07-11T10:15:35.966110Z","['Grass', 'Soil']","Grass, Soil","Train",2,"None",NA,NA,TRUE,"Bare Soil_Fran_0_776_582.jpg"
