"","annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at","labels","choiceCom","split","argAmount","argType","argPar1","argPar2","argPerformed","argImageName"
3,20439,9,"{""choices"":[""Grass"",""Dung""]}","2024-07-29T13:37:03.729908Z",56107,"Cow Dung_Stev_416_970_970.jpg",2.28,"2024-07-29T13:37:03.729927Z","['Grass', 'Dung']","Grass, Dung","Train",0,"None",NA,NA,FALSE,"Cow Dung_Stev_416_970_970.jpg"
5,26068,15,"{""choices"":[""Grass"",""Soil""]}","2024-08-12T13:04:19.614744Z",20355,"Bare Soil_Maxwell_27_1948_194.jpg",2.694,"2024-08-12T13:04:19.614767Z","['Grass', 'Soil']","Grass, Soil","Train",0,"None",NA,NA,FALSE,"Bare Soil_Maxwell_27_1948_194.jpg"
7,8666,9,"{""choices"":[""Clover"",""Grass""]}","2024-07-17T12:34:22.634967Z",114392,"More Clover_7_0_1746.jpg",2.514,"2024-07-17T12:34:22.634987Z","['Clover', 'Grass']","Clover, Grass","Train",0,"None",NA,NA,FALSE,"More Clover_7_0_1746.jpg"
11,17332,13,"{""choices"":[""Grass"",""Soil""]}","2024-07-23T16:14:44.158930Z",21393,"Bare Soil_Maxwell_6_1746_1164.jpg",3.62,"2024-07-23T16:14:44.158949Z","['Grass', 'Soil']","Grass, Soil","Train",0,"None",NA,NA,FALSE,"Bare Soil_Maxwell_6_1746_1164.jpg"
13,8400,5,"{""choices"":[""Clover"",""Grass""]}","2024-07-17T12:25:56.934916Z",114501,"More Clover_8_1312_1552.jpg",3.401,"2024-07-17T12:25:56.934940Z","['Clover', 'Grass']","Clover, Grass","Train",0,"None",NA,NA,FALSE,"More Clover_8_1312_1552.jpg"
18,20338,9,"{""choices"":[""Grass"",""Dung""]}","2024-07-29T13:31:18.217740Z",56216,"Cow Dung_Stev_418_1164_388.jpg",1.646,"2024-07-29T13:31:18.217757Z","['Grass', 'Dung']","Grass, Dung","Val",0,"None",NA,NA,FALSE,"Cow Dung_Stev_418_1164_388.jpg"
20,3845,10,"Clover","2024-07-16T11:55:30.255664Z",87413,"OV3XXX_3_776_582.jpg",4.052,"2024-07-16T11:55:30.255682Z","['Clover']","Clover","Train",0,"None",NA,NA,FALSE,"OV3XXX_3_776_582.jpg"
27,5655,3,"{""choices"":[""Clover"",""Grass""]}","2024-07-16T17:06:28.490102Z",49703,"Clover_Stev_345_1164_194.jpg",1.26,"2024-07-16T17:06:28.490128Z","['Clover', 'Grass']","Clover, Grass","Train",0,"None",NA,NA,FALSE,"Clover_Stev_345_1164_194.jpg"
34,10425,13,"{""choices"":[""Grass"",""Dung""]}","2024-07-17T13:38:52.551626Z",51228,"Cow Dung_Fran_361_970_388.jpg",2.615,"2024-07-17T13:38:52.551643Z","['Grass', 'Dung']","Grass, Dung","Train",0,"None",NA,NA,FALSE,"Cow Dung_Fran_361_970_388.jpg"
38,26706,15,"{""choices"":[""Grass"",""Dung""]}","2024-08-12T14:50:25.901699Z",53109,"Cow Dung_Livia_383_194_582.jpg",1.868,"2024-08-12T14:50:25.901719Z","['Grass', 'Dung']","Grass, Dung","Val",0,"None",NA,NA,FALSE,"Cow Dung_Livia_383_194_582.jpg"
39,4012,10,"Clover","2024-07-16T12:12:20.775946Z",87243,"OV3XXX_1_970_194.jpg",2.788,"2024-07-16T12:12:20.775964Z","['Clover']","Clover","Val",0,"None",NA,NA,FALSE,"OV3XXX_1_970_194.jpg"
41,24036,14,"Soil","2024-08-11T00:40:43.780432Z",23767,"Bare Soil_Stev_60_970_970.jpg",3.025,"2024-08-11T00:40:43.780449Z","['Soil']","Soil","Train",0,"None",NA,NA,FALSE,"Bare Soil_Stev_60_970_970.jpg"
42,12450,5,"{""choices"":[""Clover"",""Grass""]}","2024-07-17T16:28:51.070552Z",113525,"More Clover_17_1164_194.jpg",2.955,"2024-07-17T16:28:51.070570Z","['Clover', 'Grass']","Clover, Grass","Train",0,"None",NA,NA,FALSE,"More Clover_17_1164_194.jpg"
46,26620,15,"{""choices"":[""Grass"",""Dung""]}","2024-08-12T14:40:12.744809Z",91516,"Sheep Dung_Livia_814_388_582.jpg",0.973,"2024-08-12T14:40:12.744838Z","['Grass', 'Dung']","Grass, Dung","Train",0,"None",NA,NA,FALSE,"Sheep Dung_Livia_814_388_582.jpg"
52,5743,3,"{""choices"":[""Grass"",""Dung""]}","2024-07-16T17:10:10.154315Z",49774,"Clover_Stev_345_776_1225.jpg",6.349,"2024-07-16T17:10:10.154334Z","['Grass', 'Dung']","Grass, Dung","Train",0,"None",NA,NA,FALSE,"Clover_Stev_345_776_1225.jpg"
54,20562,9,"{""choices"":[""Grass"",""Dung""]}","2024-07-29T13:44:20.135520Z",55980,"Cow Dung_Stev_415_388_0.jpg",2.856,"2024-07-29T13:44:20.135541Z","['Grass', 'Dung']","Grass, Dung","Train",0,"None",NA,NA,FALSE,"Cow Dung_Stev_415_388_0.jpg"
59,12548,5,"{""choices"":[""Clover"",""Grass""]}","2024-07-17T16:36:46.201881Z",113422,"More Clover_16_0_1358.jpg",2.043,"2024-07-17T16:36:46.201899Z","['Clover', 'Grass']","Clover, Grass","Train",0,"None",NA,NA,FALSE,"More Clover_16_0_1358.jpg"
61,11645,5,"{""choices"":[""Clover"",""Grass""]}","2024-07-17T15:06:17.863074Z",113831,"More Clover_1_582_1746.jpg",1.404,"2024-07-17T15:06:17.863093Z","['Clover', 'Grass']","Clover, Grass","Train",0,"None",NA,NA,FALSE,"More Clover_1_582_1746.jpg"
63,12126,12,"{""choices"":[""Clover"",""Grass""]}","2024-07-17T15:35:35.186690Z",26274,"Buttercup_Stev_100_194_776.jpg",3.037,"2024-07-17T15:35:35.186708Z","['Clover', 'Grass']","Clover, Grass","Train",0,"None",NA,NA,FALSE,"Buttercup_Stev_100_194_776.jpg"
67,26009,5,"{""choices"":[""Grass"",""Clover""]}","2024-08-12T12:51:55.897283Z",43707,"Clover_Maxwell_282_194_970.jpg",26.117,"2024-08-12T12:51:55.897304Z","['Grass', 'Clover']","Clover, Grass","Val",0,"None",NA,NA,FALSE,"Clover_Maxwell_282_194_970.jpg"
68,785,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:36:05.081529Z",18427,"Bare Soil_Livia_3_1164_582.jpg",8.041,"2024-07-11T10:36:05.081613Z","['Grass', 'Soil']","Grass, Soil","Train",0,"None",NA,NA,FALSE,"Bare Soil_Livia_3_1164_582.jpg"
72,26220,15,"{""choices"":[""Grass"",""Dung""]}","2024-08-12T13:24:10.520398Z",92678,"Sheep Dung_Livia_827_582_776.jpg",6.154,"2024-08-12T13:24:10.520421Z","['Grass', 'Dung']","Grass, Dung","Train",0,"None",NA,NA,FALSE,"Sheep Dung_Livia_827_582_776.jpg"
73,19417,1,"{""choices"":[""Grass"",""Dung""]}","2024-07-26T17:30:23.206391Z",52473,"Cow Dung_Livia_376_1164_970.jpg",1.242,"2024-07-26T17:30:23.206408Z","['Grass', 'Dung']","Grass, Dung","Train",0,"None",NA,NA,FALSE,"Cow Dung_Livia_376_1164_970.jpg"
77,13356,5,"Soil","2024-07-17T18:08:42.276011Z",18713,"Bare Soil_Maxwell_10_1940_1164.jpg",1.117,"2024-07-17T18:08:42.276030Z","['Soil']","Soil","Train",0,"None",NA,NA,FALSE,"Bare Soil_Maxwell_10_1940_1164.jpg"
78,10192,9,"{""choices"":[""Grass"",""Soil""]}","2024-07-17T13:30:18.709530Z",24018,"Bare Soil_Stev_63_776_582.jpg",4.359,"2024-07-17T13:30:18.709548Z","['Grass', 'Soil']","Grass, Soil","Val",0,"None",NA,NA,FALSE,"Bare Soil_Stev_63_776_582.jpg"
81,5017,9,"{""choices"":[""Clover"",""Grass""]}","2024-07-16T15:07:42.368123Z",49959,"Clover_Stev_347_582_194.jpg",3.109,"2024-07-16T15:07:42.368143Z","['Clover', 'Grass']","Clover, Grass","Train",0,"None",NA,NA,FALSE,"Clover_Stev_347_582_194.jpg"
82,6650,11,"Soil","2024-07-16T19:43:25.504368Z",49628,"Clover_Maxwell_344_1746_0.jpg",10.567,"2024-07-16T19:43:25.504387Z","['Soil']","Soil","Val",0,"None",NA,NA,FALSE,"Clover_Maxwell_344_1746_0.jpg"
83,17843,13,"{""choices"":[""Clover"",""Grass""]}","2024-07-23T16:53:34.603727Z",41827,"Clover_Maxwell_263_0_970.jpg",3.287,"2024-07-23T16:53:34.603746Z","['Clover', 'Grass']","Clover, Grass","Train",0,"None",NA,NA,FALSE,"Clover_Maxwell_263_0_970.jpg"
93,27065,15,"{""choices"":[""Grass"",""Dung""]}","2024-08-12T17:25:04.740956Z",53141,"Cow Dung_Livia_383_776_388.jpg",1.552,"2024-08-12T17:25:04.740990Z","['Grass', 'Dung']","Grass, Dung","Train",0,"None",NA,NA,FALSE,"Cow Dung_Livia_383_776_388.jpg"
94,16751,3,"{""choices"":[""Clover"",""Grass""]}","2024-07-23T10:50:46.529910Z",49871,"Clover_Stev_346_776_194.jpg",1.613,"2024-07-23T10:50:46.529929Z","['Clover', 'Grass']","Clover, Grass","Train",0,"None",NA,NA,FALSE,"Clover_Stev_346_776_194.jpg"
95,24581,11,"Soil","2024-08-11T10:56:27.855973Z",23659,"Bare Soil_Stev_59_776_1164.jpg",1.168,"2024-08-11T10:56:27.855993Z","['Soil']","Soil","Train",0,"None",NA,NA,FALSE,"Bare Soil_Stev_59_776_1164.jpg"
97,18231,10,"{""choices"":[""Clover"",""Grass""]}","2024-07-24T20:09:42.203589Z",42023,"Clover_Maxwell_265_1164_194.jpg",2.278,"2024-07-24T20:09:42.203610Z","['Clover', 'Grass']","Clover, Grass","Train",0,"None",NA,NA,FALSE,"Clover_Maxwell_265_1164_194.jpg"
101,27180,15,"{""choices"":[""Grass"",""Dung""]}","2024-08-12T17:42:21.108403Z",93220,"Sheep Dung_Livia_833_970_388.jpg",2.513,"2024-08-12T17:42:21.108424Z","['Grass', 'Dung']","Grass, Dung","Train",0,"None",NA,NA,FALSE,"Sheep Dung_Livia_833_970_388.jpg"
103,16164,5,"{""choices"":[""Grass"",""Dung""]}","2024-07-22T16:57:17.255812Z",51723,"Cow Dung_Livia_367_582_582.jpg",1.084,"2024-07-22T16:57:17.255833Z","['Grass', 'Dung']","Grass, Dung","Train",0,"None",NA,NA,FALSE,"Cow Dung_Livia_367_582_582.jpg"
107,13743,12,"{""choices"":[""Grass"",""Dung""]}","2024-07-18T09:28:30.121281Z",57252,"Cow Dung_Stev_429_1164_1824.jpg",1.833,"2024-07-18T09:28:30.121300Z","['Grass', 'Dung']","Grass, Dung","Train",0,"None",NA,NA,FALSE,"Cow Dung_Stev_429_1164_1824.jpg"
111,13951,5,"{""choices"":[""Grass"",""Soil""]}","2024-07-18T11:37:48.799555Z",18967,"Bare Soil_Maxwell_13_0_970.jpg",1.43,"2024-07-18T11:37:48.799573Z","['Grass', 'Soil']","Grass, Soil","Train",0,"None",NA,NA,FALSE,"Bare Soil_Maxwell_13_0_970.jpg"
112,7364,10,"{""choices"":[""Grass"",""Dung""]}","2024-07-17T10:39:48.870614Z",57515,"Cow Dung_Stev_432_1164_1746.jpg",1.723,"2024-07-17T10:39:48.870634Z","['Grass', 'Dung']","Grass, Dung","Train",0,"None",NA,NA,FALSE,"Cow Dung_Stev_432_1164_1746.jpg"
113,3873,10,"{""choices"":[""Clover"",""Grass""]}","2024-07-16T11:57:43.437096Z",87382,"OV3XXX_3_1824_776.jpg",5.515,"2024-07-16T11:57:43.437115Z","['Clover', 'Grass']","Clover, Grass","Train",0,"None",NA,NA,FALSE,"OV3XXX_3_1824_776.jpg"
114,15788,5,"{""choices"":[""Grass"",""Dung""]}","2024-07-22T16:13:37.488304Z",51312,"Cow Dung_Fran_362_970_388.jpg",2.262,"2024-07-22T16:13:37.488328Z","['Grass', 'Dung']","Grass, Dung","Train",0,"None",NA,NA,FALSE,"Cow Dung_Fran_362_970_388.jpg"
115,26561,15,"{""choices"":[""Grass"",""Soil""]}","2024-08-12T14:24:10.645682Z",21333,"Bare Soil_Maxwell_37_388_582.jpg",3.938,"2024-08-12T14:24:10.645703Z","['Grass', 'Soil']","Grass, Soil","Train",0,"None",NA,NA,FALSE,"Bare Soil_Maxwell_37_388_582.jpg"
120,9202,10,"{""choices"":[""Grass"",""Dung""]}","2024-07-17T12:46:42.954169Z",41577,"Clover_Maxwell_260_1940_582.jpg",4.547,"2024-07-17T12:46:42.954193Z","['Grass', 'Dung']","Grass, Dung","Train",0,"None",NA,NA,FALSE,"Clover_Maxwell_260_1940_582.jpg"
121,8334,5,"{""choices"":[""Clover"",""Grass""]}","2024-07-17T12:21:40.887724Z",114547,"More Clover_8_776_1824.jpg",1.806,"2024-07-17T12:21:40.887743Z","['Clover', 'Grass']","Clover, Grass","Val",0,"None",NA,NA,FALSE,"More Clover_8_776_1824.jpg"
123,15280,5,"Soil","2024-07-18T17:26:53.414898Z",20018,"Bare Soil_Maxwell_24_0_1224.jpg",1.153,"2024-07-18T17:26:53.414917Z","['Soil']","Soil","Train",0,"None",NA,NA,FALSE,"Bare Soil_Maxwell_24_0_1224.jpg"
127,13408,5,"Soil","2024-07-17T18:12:47.507582Z",18769,"Bare Soil_Maxwell_11_0_1164.jpg",1.301,"2024-07-17T18:12:47.507600Z","['Soil']","Soil","Train",0,"None",NA,NA,FALSE,"Bare Soil_Maxwell_11_0_1164.jpg"
128,6821,5,"{""choices"":[""Clover"",""Grass""]}","2024-07-16T20:05:06.542233Z",41311,"Clover_Maxwell_257_388_194.jpg",4.59,"2024-07-16T20:05:06.542251Z","['Clover', 'Grass']","Clover, Grass","Train",0,"None",NA,NA,FALSE,"Clover_Maxwell_257_388_194.jpg"
132,12256,5,"{""choices"":[""Clover"",""Grass""]}","2024-07-17T15:42:35.966931Z",113646,"More Clover_18_388_194.jpg",14.222,"2024-07-17T15:42:35.966951Z","['Clover', 'Grass']","Clover, Grass","Train",0,"None",NA,NA,FALSE,"More Clover_18_388_194.jpg"
136,10848,11,"Clover","2024-07-17T13:49:28.553951Z",114192,"More Clover_4_776_1358.jpg",8.166,"2024-07-17T13:49:28.553977Z","['Clover']","Clover","Train",0,"None",NA,NA,FALSE,"More Clover_4_776_1358.jpg"
137,19931,9,"{""choices"":[""Grass"",""Dung""]}","2024-07-29T12:45:26.767561Z",56654,"Cow Dung_Stev_422_388_1225.jpg",1.768,"2024-07-29T12:45:26.767581Z","['Grass', 'Dung']","Grass, Dung","Train",0,"None",NA,NA,FALSE,"Cow Dung_Stev_422_388_1225.jpg"
138,696,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:31:57.233919Z",18368,"Bare Soil_Fran_2_2134_388.jpg",2.19,"2024-07-11T10:31:57.233954Z","['Grass', 'Soil']","Grass, Soil","Train",0,"None",NA,NA,FALSE,"Bare Soil_Fran_2_2134_388.jpg"
140,13959,5,"{""choices"":[""Grass"",""Soil""]}","2024-07-18T12:32:12.681181Z",18975,"Bare Soil_Maxwell_13_1164_970.jpg",2.781,"2024-07-18T12:32:12.681198Z","['Grass', 'Soil']","Grass, Soil","Val",0,"None",NA,NA,FALSE,"Bare Soil_Maxwell_13_1164_970.jpg"
141,26615,15,"{""choices"":[""Grass"",""Dung""]}","2024-08-12T14:38:44.708766Z",54110,"Cow Dung_Livia_394_776_582.jpg",1.835,"2024-08-12T14:38:44.708786Z","['Grass', 'Dung']","Grass, Dung","Train",0,"None",NA,NA,FALSE,"Cow Dung_Livia_394_776_582.jpg"
143,25970,15,"Soil","2024-08-12T12:37:02.226097Z",23642,"Bare Soil_Stev_59_388_194.jpg",1.558,"2024-08-12T12:37:02.226118Z","['Soil']","Soil","Train",0,"None",NA,NA,FALSE,"Bare Soil_Stev_59_388_194.jpg"
144,23840,14,"{""choices"":[""Grass"",""Clover""]}","2024-08-10T19:44:00.245664Z",44689,"Clover_Maxwell_292_776_582.jpg",2.063,"2024-08-10T19:44:00.245682Z","['Grass', 'Clover']","Clover, Grass","Train",0,"None",NA,NA,FALSE,"Clover_Maxwell_292_776_582.jpg"
150,6342,11,"Clover","2024-07-16T19:25:06.302221Z",45294,"Clover_Maxwell_299_1358_1224.jpg",4.012,"2024-07-16T19:25:06.302239Z","['Clover']","Clover","Val",0,"None",NA,NA,FALSE,"Clover_Maxwell_299_1358_1224.jpg"
159,12688,5,"{""choices"":[""Clover"",""Grass""]}","2024-07-17T16:45:54.694357Z",113272,"More Clover_14_1312_194.jpg",1.411,"2024-07-17T16:45:54.694377Z","['Clover', 'Grass']","Clover, Grass","Train",0,"None",NA,NA,FALSE,"More Clover_14_1312_194.jpg"
160,13386,5,"Soil","2024-07-17T18:09:54.635028Z",18745,"Bare Soil_Maxwell_10_582_1164.jpg",1.11,"2024-07-17T18:09:54.635046Z","['Soil']","Soil","Train",0,"None",NA,NA,FALSE,"Bare Soil_Maxwell_10_582_1164.jpg"
165,14126,5,"{""choices"":[""Grass"",""Soil""]}","2024-07-18T14:17:59.940454Z",19151,"Bare Soil_Maxwell_14_970_970.jpg",1.383,"2024-07-18T14:17:59.940471Z","['Grass', 'Soil']","Grass, Soil","Train",0,"None",NA,NA,FALSE,"Bare Soil_Maxwell_14_970_970.jpg"
166,762,4,"{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:34:43.166712Z",18404,"Bare Soil_Fran_2_970_388.jpg",4.24,"2024-07-11T10:34:43.166741Z","['Grass', 'Soil']","Grass, Soil","Val",0,"None",NA,NA,FALSE,"Bare Soil_Fran_2_970_388.jpg"
167,26473,15,"{""choices"":[""Grass"",""Clover""]}","2024-08-12T14:06:52.520819Z",45428,"Clover_Maxwell_300_194_0.jpg",2.416,"2024-08-12T14:06:52.520839Z","['Grass', 'Clover']","Clover, Grass","Train",0,"None",NA,NA,FALSE,"Clover_Maxwell_300_194_0.jpg"
168,12290,12,"{""choices"":[""Clover"",""Grass""]}","2024-07-17T15:45:01.297104Z",35440,"Buttercup_Stev_204_388_0.jpg",2.061,"2024-07-17T15:45:01.297124Z","['Clover', 'Grass']","Clover, Grass","Train",0,"None",NA,NA,FALSE,"Buttercup_Stev_204_388_0.jpg"
172,13840,5,"Soil","2024-07-18T10:51:25.224171Z",18848,"Bare Soil_Maxwell_11_776_0.jpg",3.112,"2024-07-18T10:51:25.224189Z","['Soil']","Soil","Val",0,"None",NA,NA,FALSE,"Bare Soil_Maxwell_11_776_0.jpg"
174,13641,12,"{""choices"":[""Grass"",""Dung""]}","2024-07-18T09:21:57.389076Z",57356,"Cow Dung_Stev_430_1312_970.jpg",2.58,"2024-07-18T09:21:57.389096Z","['Grass', 'Dung']","Grass, Dung","Train",0,"None",NA,NA,FALSE,"Cow Dung_Stev_430_1312_970.jpg"
175,6372,5,"{""choices"":[""Clover"",""Grass""]}","2024-07-16T19:27:14.886717Z",41076,"Clover_Maxwell_255_1552_0.jpg",7.052,"2024-07-16T19:27:14.886735Z","['Clover', 'Grass']","Clover, Grass","Train",0,"None",NA,NA,FALSE,"Clover_Maxwell_255_1552_0.jpg"
176,9113,10,"{""choices"":[""Clover"",""Grass""]}","2024-07-17T12:44:42.153205Z",41553,"Clover_Maxwell_260_1358_582.jpg",2.151,"2024-07-17T12:44:42.153229Z","['Clover', 'Grass']","Clover, Grass","Train",0,"None",NA,NA,FALSE,"Clover_Maxwell_260_1358_582.jpg"
180,22707,10,"{""choices"":[""Grass"",""Dung""]}","2024-08-09T16:56:14.816311Z",24590,"Bare Soil_Stev_70_1312_582.jpg",6.952,"2024-08-09T16:56:14.816329Z","['Grass', 'Dung']","Grass, Dung","Train",0,"None",NA,NA,FALSE,"Bare Soil_Stev_70_1312_582.jpg"
181,22829,10,"{""choices"":[""Grass"",""Dung""]}","2024-08-09T19:33:08.763014Z",21538,"Bare Soil_Maxwell_7_776_1224.jpg",3.2,"2024-08-09T19:33:08.763033Z","['Grass', 'Dung']","Grass, Dung","Train",0,"None",NA,NA,FALSE,"Bare Soil_Maxwell_7_776_1224.jpg"
182,25961,15,"Soil","2024-08-12T12:35:58.259308Z",23200,"Bare Soil_Stev_54_388_1746.jpg",2.498,"2024-08-12T12:35:58.259328Z","['Soil']","Soil","Train",0,"None",NA,NA,FALSE,"Bare Soil_Stev_54_388_1746.jpg"
183,25837,5,"{""choices"":[""Grass"",""Soil""]}","2024-08-12T12:10:05.151618Z",24287,"Bare Soil_Stev_66_970_1358.jpg",11.883,"2024-08-12T12:10:05.151710Z","['Grass', 'Soil']","Grass, Soil","Train",0,"None",NA,NA,FALSE,"Bare Soil_Stev_66_970_1358.jpg"
185,10501,11,"Clover","2024-07-17T13:40:54.794981Z",114331,"More Clover_6_1312_776.jpg",1.542,"2024-07-17T13:40:54.794999Z","['Clover']","Clover","Train",0,"None",NA,NA,FALSE,"More Clover_6_1312_776.jpg"
189,19381,1,"{""choices"":[""Grass"",""Dung""]}","2024-07-26T17:28:39.446118Z",52433,"Cow Dung_Livia_375_776_1552.jpg",1.382,"2024-07-26T17:28:39.446137Z","['Grass', 'Dung']","Grass, Dung","Train",0,"None",NA,NA,FALSE,"Cow Dung_Livia_375_776_1552.jpg"
190,6799,5,"{""choices"":[""Clover"",""Grass""]}","2024-07-16T20:02:31.871115Z",41289,"Clover_Maxwell_257_1940_582.jpg",866.911,"2024-07-16T20:02:31.871134Z","['Clover', 'Grass']","Clover, Grass","Train",0,"None",NA,NA,FALSE,"Clover_Maxwell_257_1940_582.jpg"
192,11647,5,"{""choices"":[""Clover"",""Grass""]}","2024-07-17T15:06:26.436342Z",113829,"More Clover_1_582_1358.jpg",2.989,"2024-07-17T15:06:26.436360Z","['Clover', 'Grass']","Clover, Grass","Train",0,"None",NA,NA,FALSE,"More Clover_1_582_1358.jpg"
194,15152,5,"{""choices"":[""Grass"",""Soil""]}","2024-07-18T16:59:02.941263Z",19883,"Bare Soil_Maxwell_22_194_194.jpg",2.304,"2024-07-18T16:59:02.941283Z","['Grass', 'Soil']","Grass, Soil","Train",0,"None",NA,NA,FALSE,"Bare Soil_Maxwell_22_194_194.jpg"
195,26400,15,"{""choices"":[""Grass"",""Clover""]}","2024-08-12T13:52:04.563545Z",45454,"Clover_Maxwell_300_776_1224.jpg",1.788,"2024-08-12T13:52:04.563628Z","['Grass', 'Clover']","Clover, Grass","Train",0,"None",NA,NA,FALSE,"Clover_Maxwell_300_776_1224.jpg"
197,3887,10,"{""choices"":[""Clover"",""Grass""]}","2024-07-16T11:58:43.471931Z",87368,"OV3XXX_3_1746_0.jpg",1.709,"2024-07-16T11:58:43.471949Z","['Clover', 'Grass']","Clover, Grass","Train",0,"None",NA,NA,FALSE,"OV3XXX_3_1746_0.jpg"
203,24719,11,"{""choices"":[""Grass"",""Dung""]}","2024-08-11T11:08:52.505815Z",54043,"Cow Dung_Livia_394_0_388.jpg",1.744,"2024-08-11T11:08:52.505837Z","['Grass', 'Dung']","Grass, Dung","Val",0,"None",NA,NA,FALSE,"Cow Dung_Livia_394_0_388.jpg"
