"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
313,"4","Grass","2024-07-11T10:12:24.449200Z",18194,"/data/local-files/?d=content/content/flat_split/Bare%20Soil_Fran_0_194_388.jpg",4.744,"2024-07-11T10:12:24.449230Z"
346,"4","{""choices"":[""Grass"",""Artifact""]}","2024-07-11T10:14:02.288312Z",18212,"/data/local-files/?d=content/content/flat_split/Bare%20Soil_Fran_0_2419_388.jpg",16.121,"2024-07-11T10:14:02.288342Z"
363,"4","{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:14:38.518648Z",18221,"/data/local-files/?d=content/content/flat_split/Bare%20Soil_Fran_0_388_965.jpg",4.318,"2024-07-11T10:14:38.518677Z"
376,"4","{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:15:08.588492Z",18226,"/data/local-files/?d=content/content/flat_split/Bare%20Soil_Fran_0_582_776.jpg",3.141,"2024-07-11T10:15:08.588532Z"
385,"4","{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:15:31.489451Z",18230,"/data/local-files/?d=content/content/flat_split/Bare%20Soil_Fran_0_776_388.jpg",3.113,"2024-07-11T10:15:31.489485Z"
410,"4","Grass","2024-07-11T10:16:53.575422Z",18240,"/data/local-files/?d=content/content/flat_split/Bare%20Soil_Fran_1_0_0.jpg",5.461,"2024-07-11T10:16:53.575456Z"
416,"4","Grass","2024-07-11T10:17:14.445165Z",18242,"/data/local-files/?d=content/content/flat_split/Bare%20Soil_Fran_1_0_388.jpg",9.326,"2024-07-11T10:17:14.445195Z"
425,"4","{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:17:41.455977Z",18246,"/data/local-files/?d=content/content/flat_split/Bare%20Soil_Fran_1_1164_0.jpg",4.419,"2024-07-11T10:17:41.456008Z"
488,"4","Grass","2024-07-11T10:20:32.676463Z",18278,"/data/local-files/?d=content/content/flat_split/Bare%20Soil_Fran_1_194_388.jpg",2.267,"2024-07-11T10:20:32.676492Z"
539,"4","{""choices"":[""Grass"",""Soil"",""Artifact""]}","2024-07-11T10:22:52.380223Z",18299,"/data/local-files/?d=content/content/flat_split/Bare%20Soil_Fran_1_2419_965.jpg",7.344,"2024-07-11T10:22:52.380257Z"
585,"4","Grass","2024-07-11T10:25:48.462061Z",18312,"/data/local-files/?d=content/content/flat_split/Bare%20Soil_Fran_1_776_0.jpg",1.759,"2024-07-11T10:25:48.462101Z"
586,"4","{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:25:53.174982Z",18313,"/data/local-files/?d=content/content/flat_split/Bare%20Soil_Fran_1_776_194.jpg",3.809,"2024-07-11T10:25:53.175014Z"
626,"4","{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:29:33.374390Z",18331,"/data/local-files/?d=content/content/flat_split/Bare%20Soil_Fran_2_1164_194.jpg",10.042,"2024-07-11T10:29:33.374420Z"
639,"4","{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:29:59.010817Z",18339,"/data/local-files/?d=content/content/flat_split/Bare%20Soil_Fran_2_1358_582.jpg",1.518,"2024-07-11T10:29:59.010848Z"
665,"4","{""choices"":[""Grass"",""Soil""]}","2024-07-11T10:30:53.272968Z",18351,"/data/local-files/?d=content/content/flat_split/Bare%20Soil_Fran_2_1746_582.jpg",2.035,"2024-07-11T10:30:53.272999Z"
