,annotation_id,annotator,choice,created_at,id,image,lead_time,updated_at,labels,subset
0,4024,10,Clover,2024-07-16T12:15:40.960299Z,87231,OV3XXX_1_582_970.jpg,5.152,2024-07-16T12:15:40.960318Z,['Clover'],Train
1,19621,1,"{""choices"":[""Grass"",""Dung""]}",2024-07-26T17:43:59.440503Z,52689,Cow Dung_Livia_378_582_194.jpg,1.443,2024-07-26T17:43:59.440522Z,"['Grass', 'Dung']",Train
2,16876,3,"{""choices"":[""Clover"",""Grass""]}",2024-07-23T10:57:48.626335Z,50010,Clover_Stev_348_1552_776.jpg,1.23,2024-07-23T10:57:48.626352Z,"['Clover', 'Grass']",Train
3,14621,5,"{""choices"":[""Grass"",""Soil""]}",2024-07-18T16:26:16.223214Z,19317,Bare Soil_Maxwell_16_388_582.jpg,1.345,2024-07-18T16:26:16.223233Z,"['Grass', 'Soil']",Train
4,12780,5,"{""choices"":[""Clover"",""Grass""]}",2024-07-17T16:51:30.637064Z,113179,More Clover_13_1312_1164.jpg,1.319,2024-07-17T16:51:30.637082Z,"['Clover', 'Grass']",Train
5,16603,5,"{""choices"":[""Grass"",""Dung""]}",2024-07-22T17:32:48.379673Z,52187,Cow Dung_Livia_372_970_970.jpg,3.191,2024-07-22T17:32:48.379692Z,"['Grass', 'Dung']",Train
6,17007,3,"{""choices"":[""Clover"",""Grass""]}",2024-07-23T14:48:24.357418Z,50147,Clover_Stev_349_388_970.jpg,3.086,2024-07-23T14:48:24.357449Z,"['Clover', 'Grass']",Val
7,9132,13,"{""choices"":[""Clover"",""Grass""]}",2024-07-17T12:45:07.716836Z,34593,Buttercup_Stev_195_0_1164.jpg,15.08,2024-07-17T12:45:07.716854Z,"['Clover', 'Grass']",Train
8,18808,3,"{""choices"":[""Grass"",""Dung""]}",2024-07-25T16:35:50.473351Z,41981,Clover_Maxwell_264_388_1164.jpg,3.594,2024-07-25T16:35:50.473369Z,"['Grass', 'Dung']",Train
9,19408,1,"{""choices"":[""Grass"",""Dung""]}",2024-07-26T17:29:55.897144Z,52464,Cow Dung_Livia_376_1164_1164.jpg,3.651,2024-07-26T17:29:55.897162Z,"['Grass', 'Dung']",Train
10,18530,10,"{""choices"":[""Clover"",""Grass""]}",2024-07-24T20:37:34.568703Z,42344,Clover_Maxwell_268_1940_388.jpg,1.63,2024-07-24T20:37:34.568722Z,"['Clover', 'Grass']",Train
11,8399,5,"{""choices"":[""Grass"",""Dung""]}",2024-07-17T12:25:52.688824Z,114502,More Clover_8_1312_1746.jpg,4.076,2024-07-17T12:25:52.688842Z,"['Grass', 'Dung']",Val
12,13392,5,Soil,2024-07-17T18:12:06.251547Z,18753,Bare Soil_Maxwell_10_776_1164.jpg,1.146,2024-07-17T18:12:06.251564Z,['Soil'],Train
13,15018,5,"{""choices"":[""Grass"",""Soil""]}",2024-07-18T16:50:24.524200Z,19747,Bare Soil_Maxwell_21_1358_194.jpg,1.876,2024-07-18T16:50:24.524218Z,"['Grass', 'Soil']",Train
14,19636,1,"{""choices"":[""Grass"",""Dung""]}",2024-07-26T17:44:38.575443Z,52705,Cow Dung_Livia_378_970_0.jpg,1.18,2024-07-26T17:44:38.575462Z,"['Grass', 'Dung']",Train
15,4914,9,"{""choices"":[""Grass"",""Dung""]}",2024-07-16T15:01:11.343991Z,89869,Sheep Dung_Livia_795_970_0.jpg,4.564,2024-07-16T15:01:11.344010Z,"['Grass', 'Dung']",Train
16,15083,5,Soil,2024-07-18T16:54:46.501636Z,19812,Bare Soil_Maxwell_21_776_388.jpg,2.557,2024-07-18T16:54:46.501653Z,['Soil'],Train
17,8054,12,Soil,2024-07-17T11:13:56.328944Z,21970,Bare Soil_Stev_40_388_194.jpg,4.804,2024-07-17T11:13:56.328963Z,['Soil'],Train
18,19022,3,Soil,2024-07-25T16:51:42.959663Z,20212,Bare Soil_Maxwell_26_0_388.jpg,1.136,2024-07-25T16:51:42.959682Z,['Soil'],Train
19,19410,1,"{""choices"":[""Grass"",""Dung""]}",2024-07-26T17:30:03.316192Z,52466,Cow Dung_Livia_376_1164_1552.jpg,1.928,2024-07-26T17:30:03.316210Z,"['Grass', 'Dung']",Train
20,2801,5,"{""choices"":[""Clover"",""Grass""]}",2024-07-15T17:24:02.654671Z,39442,Clover_Maxwell_238_1358_776.jpg,8.905,2024-07-15T17:24:02.654689Z,"['Clover', 'Grass']",Train
21,4771,9,"{""choices"":[""Grass"",""Dung""]}",2024-07-16T14:51:09.804533Z,51409,Cow Dung_Fran_364_1164_582.jpg,3.957,2024-07-16T14:51:09.804551Z,"['Grass', 'Dung']",Val
22,14951,5,"{""choices"":[""Grass"",""Soil""]}",2024-07-18T16:46:02.086980Z,19676,Bare Soil_Maxwell_20_1940_388.jpg,1.689,2024-07-18T16:46:02.087041Z,"['Grass', 'Soil']",Train
23,16104,5,"{""choices"":[""Grass"",""Dung""]}",2024-07-22T16:53:45.712152Z,51657,Cow Dung_Livia_366_970_582.jpg,1.826,2024-07-22T16:53:45.712172Z,"['Grass', 'Dung']",Train
24,15860,5,"{""choices"":[""Grass"",""Dung""]}",2024-07-22T16:16:53.377779Z,51390,Cow Dung_Fran_363_776_388.jpg,4.027,2024-07-22T16:17:58.610524Z,"['Grass', 'Dung']",Train
25,4779,9,"{""choices"":[""Grass"",""Dung""]}",2024-07-16T14:51:51.499012Z,51386,Cow Dung_Fran_363_582_776.jpg,4.458,2024-07-16T14:51:51.499032Z,"['Grass', 'Dung']",Val
26,16538,5,"{""choices"":[""Grass"",""Dung""]}",2024-07-22T17:28:55.863503Z,52118,Cow Dung_Livia_372_1164_388.jpg,2.535,2024-07-22T17:28:55.863521Z,"['Grass', 'Dung']",Val
27,6234,5,"{""choices"":[""Grass"",""Dung""]}",2024-07-16T19:17:36.376982Z,40983,Clover_Maxwell_254_1552_194.jpg,13.889,2024-07-16T19:17:36.377000Z,"['Grass', 'Dung']",Train
28,8123,9,"{""choices"":[""Grass"",""Dung""]}",2024-07-17T11:16:45.407035Z,71820,Dock Leaves_Livia_595_776_194.jpg,5.048,2024-07-17T11:16:45.407054Z,"['Grass', 'Dung']",Train
29,247,3,"{""choices"":[""Grass"",""Dung""]}",2024-07-11T10:08:41.945247Z,25007,Bare Soil_Stev_75_0_388.jpg,4.744,2024-07-11T10:08:41.945277Z,"['Grass', 'Dung']",Train
30,9496,10,"{""choices"":[""Clover"",""Grass"",""Dung""]}",2024-07-17T12:54:20.244440Z,41657,Clover_Maxwell_261_1552_582.jpg,3.711,2024-07-17T12:54:20.244460Z,"['Clover', 'Grass', 'Dung']",Train
31,7898,10,"{""choices"":[""Clover"",""Grass""]}",2024-07-17T11:07:48.869516Z,50950,Clover_Stev_358_582_1552.jpg,2.162,2024-07-17T11:07:48.869534Z,"['Clover', 'Grass']",Val
32,8807,10,"{""choices"":[""Clover"",""Grass""]}",2024-07-17T12:38:06.331949Z,41474,Clover_Maxwell_259_1746_776.jpg,2.619,2024-07-17T12:38:06.331974Z,"['Clover', 'Grass']",Train
33,8683,9,"{""choices"":[""Clover"",""Grass""]}",2024-07-17T12:34:50.436565Z,114382,More Clover_6_970_1824.jpg,1.402,2024-07-17T12:34:50.436584Z,"['Clover', 'Grass']",Train
34,135,4,"{""choices"":[""Grass"",""Soil""]}",2024-07-11T09:59:11.095123Z,18162,Bare Soil_Fran_0_1164_0.jpg,9.274,2024-07-11T09:59:11.095153Z,"['Grass', 'Soil']",Train
35,3156,5,"{""choices"":[""Grass"",""Dung""]}",2024-07-15T19:54:56.249629Z,39801,Clover_Maxwell_241_970_582.jpg,5.277,2024-07-15T19:54:56.249648Z,"['Grass', 'Dung']",Val
